ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Variation Swatches,Attributes Swatches,Brands
1960,external,SB-WORDHERO-AI-WRITER-1960,,Wordhero AI Writer,1,0,visible,"1-year plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Wordhero AI Writer</strong> — <strong>1-year plan</strong></p>
<p>WordHero: The AI-Powered Writing Tool for Effortless Content Creation – 1 Year PlanWordHero is a powerful AI-driven writing assistant designed to help you create high-quality content quickly and efficiently. Whether you're a blogger, marketer, or entrepreneur, WordHero provides all the tools you need to craft compelling copy across various platforms. With th</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,1599,1599,"AI Tools, Digital Products, AI Writing Tools","digital, ai, writing, annual, wordhero",,https://dreamstarsolution.com/wp-content/uploads/2025/04/139.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1961,external,SB-BRAMEWORK-TIER-2-1961,,Bramework Tier 2,1,0,visible,"Monthly plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Bramework Tier 2</strong> — <strong>Monthly plan</strong></p>
<p>Bramework is your go-to AI content creation tool designed to help bloggers, marketers, and businesses generate high-quality content quickly and efficiently. With Bramework’s Pro License, you can create up to 400,000 words per month, making it ideal for those with high-volume content needs. Key Features of Bramework Pro License: AI Blog Writing Assistant: Gen</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,1499,1499,"AI Tools, Digital Products, AI Writing Tools","digital, ai, writing, bramework",,https://dreamstarsolution.com/wp-content/uploads/2025/04/92-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1962,external,SB-CREAITOR-AI-UNLIMI-1962,,Creaitor AI Unlimited Plan,1,0,visible,"1-year plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Creaitor AI Unlimited Plan</strong> — <strong>1-year plan</strong></p>
<p>Creaitor AI: Unlimited Plan – 1 Year of AI-Powered Content CreationCreaitor AI is a versatile content creation tool that helps businesses, marketers, and content creators generate high-quality content efficiently. With its AI-powered capabilities, you can create blog posts, articles, social media content, and more, all tailored to your specific needs. The Un</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,750,750,"AI Tools, Digital Products, AI Writing Tools","digital, ai, writing, annual, creaitor",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Website-Poster-23.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1963,external,SB-WRITECREAM-AI-POWE-1963,,Writecream AI-Powered Content Creation Tool,1,0,visible,"Pro plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Writecream AI-Powered Content Creation Tool</strong> — <strong>Pro plan</strong></p>
<p>Writecream: AI-Powered Content Creation Tool with Pro Plan AccessWritecream is an AI-driven content creation platform designed to help marketers, bloggers, and businesses generate high-quality content across various platforms. With the Pro Plan, you can create up to 800,000 characters per month, making it perfect for businesses with high-volume content needs</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,1250,1250,"AI Tools, Digital Products, AI Writing Tools","digital, ai, writing, writecream",,https://dreamstarsolution.com/wp-content/uploads/2025/04/161-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1964,external,SB-QUILLBOT-PREMIUM-1964,,Quillbot Premium,1,0,visible,"1-year plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Quillbot Premium</strong> — <strong>1-year plan</strong></p>
<p>QuillBot: Premium Plan – 1 Year of AI Writing and Paraphrasing AssistanceQuillBot is an AI-powered writing tool designed to help improve your writing by offering advanced paraphrasing, summarizing, and grammar correction features. Whether you’re working on academic papers, professional documents, or creative content, QuillBot's Premium Plan provides the tool</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,799,799,"Writing Tools, Digital Products, AI Writing Tools","digital, ai, writing, annual, quillbot",,https://dreamstarsolution.com/wp-content/uploads/2025/04/116-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1965,external,SB-GRAMMARLY-PREMIUM-1965,,Grammarly Premium,1,0,visible,"1-year plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Grammarly Premium</strong> — <strong>1-year plan</strong></p>
<p>Grammarly: Pro Plan – 1 Year of Advanced Writing AssistanceGrammarly is a leading AI-powered writing tool that helps users improve their writing with real-time grammar, spelling, and style suggestions. Whether you’re writing emails, reports, or creative content, Grammarly’s Pro Plan offers advanced features to enhance your writing and ensure clarity, correct</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,799,1999,"Writing Tools, Digital Products, AI Writing Tools","digital, ai, writing, annual, grammarly",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Website-Poster-16-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1966,external,SB-WORDTUNE-PREMIUM-1966,,Wordtune Premium,1,0,visible,"1-year plan<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Wordtune Premium</strong> — <strong>1-year plan</strong></p>
<p>Wordtune: Premium Plan – 1 Year of AI Writing AssistanceWordtune is an advanced AI writing tool designed to help improve your writing by offering real-time suggestions, enhancing clarity, and adjusting tone. Whether you’re crafting professional emails, essays, or social media posts, Wordtune makes it easier to express your ideas effectively and efficiently.</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,799,1999,"Writing Tools, Digital Products, AI Writing Tools","digital, ai, writing, annual, wordtune",,https://dreamstarsolution.com/wp-content/uploads/2025/04/142-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1967,external,SB-VIDEO-CREATOR-1967,,Video Creator,1,0,visible,Lifetime access<br>Speed up video creation and editing tasks<br>Export-ready assets for social platforms<br>Digital access details after checkout,"<p><strong>Video Creator</strong> — <strong>Lifetime access</strong></p>
<p>VideoCreator: Lifetime Access – Create Professional Videos EasilyVideoCreator is an all-in-one video creation platform that allows you to produce high-quality videos for marketing, social media, business, and personal projects. With its easy-to-use interface and a vast library of customizable templates, VideoCreator is perfect for creating engaging content w</p>
<ul><li>Speed up video creation tasks</li><li>Tools for captions/subtitles and exports</li><li>Suitable for short-form content workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,599,1999,"Video Editing, Digital Products, Video Tools","digital, ai, video, lifetime",,https://dreamstarsolution.com/wp-content/uploads/2025/04/168-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1968,external,SB-AVATAR-BUILDER-1968,,Avatar Builder,1,0,visible,Lifetime access<br>Speed up video creation and editing tasks<br>Export-ready assets for social platforms<br>Digital access details after checkout,"<p><strong>Avatar Builder</strong> — <strong>Lifetime access</strong></p>
<p>AvatarBuilder: Lifetime Access – Create Stunning 3D Avatars and VideosAvatarBuilder is an advanced AI-powered platform that allows you to create unique 3D avatars and animated videos effortlessly. Perfect for marketers, educators, and content creators, AvatarBuilder offers a wide range of customizable features to produce engaging videos for social media, pre</p>
<ul><li>Speed up video creation tasks</li><li>Tools for captions/subtitles and exports</li><li>Suitable for short-form content workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,599,1999,"Video Editing, Digital Products, Video Tools","digital, ai, video, lifetime, avatar",,https://dreamstarsolution.com/wp-content/uploads/2025/04/91-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1969,external,SB-LINGUIX-LIFETIME-1969,,Linguix Lifetime,1,0,visible,"Lifetime access<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Linguix Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>Linguix: 1 Year Plan – AI-Powered Writing AssistantLinguix is an advanced writing assistant designed to improve your writing by offering grammar, spelling, and style corrections. Whether you're crafting emails, social media posts, or professional documents, Linguix helps you write more clearly and effectively with real-time suggestions and powerful AI tools.</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,599,1999,"Writing Tools, Digital Products, AI Writing Tools","digital, ai, writing, lifetime, linguix",,,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
